RowNumInPt1,RowNumInPt2,TimeDiffInSecond
1,1,676
2,2,1014
3,3,1060
4,4,583
5,5,759
6,7,687
7,6,360
8,8,799
9,9,624
10,10,741
11,11,1157
12,12,1694
13,13,1175
14,14,1197
15,#N/A,#N/A
16,15,837
17,16,777
18,18,2033
19,17,683
20,19,872
21,20,1052
22,21,231
23,22,772
24,#N/A,#N/A
25,23,786
26,24,912
27,26,952
28,27,844
29,#N/A,#N/A
30,29,664
31,30,1693
32,31,890
33,32,912
34,33,1030
35,34,1167
36,35,651
37,#N/A,#N/A
38,37,1211
39,38,919
40,39,769
41,42,1152
42,43,739
43,44,1063
44,45,690
45,46,667
46,47,700
47,48,903
48,49,712
49,50,666
50,51,803
51,52,1202
52,53,2049
53,54,1018
54,55,1020
55,56,738
56,57,536
57,58,558
58,59,239
59,60,1192
60,61,690
61,62,688
62,63,853
63,64,11469
64,66,837
65,67,680
66,68,1015
67,69,941
68,70,1193
69,72,709
70,73,751
71,74,839
72,77,1521
73,75,1131
74,76,1014
75,78,724
76,79,1013
77,80,887
78,82,1197
79,83,872
80,84,875
81,85,992
82,86,651
83,87,620
84,88,804
85,89,1263
86,#N/A,#N/A
87,90,594
88,14,1120
89,93,1139
90,94,763
91,95,2429
92,96,981
93,97,730
94,98,1187
95,#N/A,#N/A
96,99,241
97,100,250
98,#N/A,#N/A
99,102,1248
100,104,1266
101,105,702
102,106,1243
103,107,808
104,108,884
105,109,1460
106,110,695
107,#N/A,#N/A
108,111,775
109,112,884
110,113,895
111,114,728
112,115,886
113,116,76954
114,116,1323
115,117,723
116,118,626
117,#N/A,#N/A
118,119,786
119,#N/A,#N/A
120,121,893
121,122,1370
122,124,733
123,125,1191
124,126,1703
125,127,944
126,120,1533
127,131,86143
128,#N/A,#N/A
129,129,597
130,130,518
131,132,808
132,134,947
133,#N/A,#N/A
134,135,641
135,136,272
136,137,542
137,139,723
138,140,182
139,141,524
140,142,1344
141,143,562
142,144,868
143,145,1114
144,147,1414
145,148,623
146,149,1069
147,151,1722
148,152,1098
149,154,866
150,#N/A,#N/A
151,157,712
152,158,1785
153,#N/A,#N/A
154,160,809
155,161,963
156,162,583
157,#N/A,#N/A
158,165,80314
159,164,2596
160,166,770
161,167,1086
162,#N/A,#N/A
163,170,825
164,171,1047
165,172,1332
166,173,668
167,174,784
168,175,2117
169,176,900
170,177,1546
