indx,female,age,condition,score
1,1,20,1,.60000002
2,1,19,1,.40000001
3,1,18,1,.60000002
4,1,21,1,.80000001
5,1,19,1,.80000001
6,1,19,1,.80000001
7,1,18,1,.40000001
8,1,20,1,.60000002
9,1,20,1,.60000002
10,1,19,1,.60000002
11,1,21,1,.60000002
12,1,21,1,.40000001
13,1,22,1,.60000002
14,0,20,1,.80000001
15,1,19,1,.80000001
16,0,19,1,.2
17,1,22,1,.60000002
18,0,20,1,.40000001
19,1,18,1,.40000001
20,1,19,1,.60000002
21,1,19,1,.80000001
22,1,19,1,1
23,1,18,1,1
24,0,20,1,.80000001
25,1,24,1,.60000002
26,1,19,1,.40000001
27,0,18,1,.40000001
28,1,19,1,.80000001
29,1,19,1,.60000002
30,0,20,1,.80000001
31,1,19,1,.60000002
32,0,19,1,1
33,0,19,1,.60000002
34,0,20,1,.80000001
35,1,18,1,.60000002
36,1,23,1,.40000001
37,0,19,1,.40000001
38,1,20,1,1
39,0,22,1,.60000002
40,0,19,1,.40000001
41,0,18,1,.60000002
42,1,18,1,.80000001
43,0,19,1,.60000002
44,1,19,1,.60000002
45,0,20,1,.60000002
46,0,20,1,.60000002
47,0,19,1,.40000001
48,0,18,1,1
49,0,19,1,.80000001
50,0,20,1,.60000002
51,1,19,3,.60000002
52,1,20,3,.40000001
53,1,18,3,.2
54,1,19,3,.60000002
55,1,18,3,.40000001
56,1,19,3,.40000001
57,1,20,3,1
58,1,19,3,.60000002
59,1,18,3,.2
60,1,20,3,.60000002
61,1,22,3,.40000001
62,1,18,3,.40000001
63,1,19,2,.40000001
64,1,20,2,1
65,,22,3,.2
66,1,20,3,.40000001
67,0,19,3,.40000001
68,0,19,3,.40000001
69,0,19,3,.40000001
70,1,18,3,.60000002
71,1,19,3,.2
72,1,19,3,.40000001
73,1,18,3,.80000001
74,0,23,3,.2
75,1,20,3,.40000001
76,1,20,3,.60000002
77,1,18,3,.2
78,0,22,3,.60000002
79,1,19,3,.40000001
80,1,19,3,.40000001
81,1,19,3,.2
82,0,19,2,.80000001
83,1,20,3,.2
84,1,19,3,.80000001
85,1,19,3,.40000001
86,1,22,3,.60000002
87,0,19,3,.2
88,1,20,3,.60000002
89,1,18,3,.40000001
90,1,19,3,.40000001
91,0,18,3,.40000001
92,1,19,3,.2
93,1,19,3,.40000001
94,1,18,3,.40000001
95,1,19,3,.60000002
96,1,19,3,.60000002
97,1,19,3,.40000001
98,1,18,3,.80000001
99,0,22,3,.40000001
100,0,19,3,.40000001
101,0,18,3,.40000001
102,0,18,3,.80000001
103,1,19,3,.60000002
104,1,21,2,1
105,1,19,2,.80000001
106,1,19,2,.60000002
107,1,18,2,.80000001
108,1,19,2,.60000002
109,1,22,2,.60000002
110,1,20,2,.60000002
111,1,18,2,.80000001
112,1,21,2,.60000002
113,1,20,2,.40000001
114,1,20,2,.80000001
115,1,19,2,.60000002
116,1,19,2,.60000002
117,1,19,2,.60000002
118,0,19,2,.60000002
119,1,19,2,.80000001
120,1,22,2,1
121,1,20,2,.80000001
122,0,22,2,1
123,1,19,2,.80000001
124,1,19,2,.80000001
125,1,21,2,.60000002
126,1,19,2,.80000001
127,1,19,2,.40000001
128,1,18,2,.40000001
129,0,19,2,.60000002
130,0,19,2,.80000001
131,1,21,2,.60000002
132,0,20,2,.80000001
133,0,20,2,.2
134,1,18,2,1
135,0,20,2,.80000001
136,1,18,2,.80000001
137,1,21,2,.60000002
138,0,22,2,.60000002
139,0,20,2,.60000002
140,1,18,2,.60000002
141,0,22,2,1
142,1,19,2,.40000001
143,1,18,2,.40000001
144,0,20,2,.40000001
145,0,19,2,.80000001
146,0,19,2,.60000002
147,0,19,2,.60000002
148,1,18,2,.80000001
149,1,18,2,.60000002
150,1,19,2,1
